true_value,predicted_mean,relative_error,absolute_error
0.12633198,0.07847671,0.37880564,0.047855273
0.08912421,0.085551396,0.040088028,0.0035728142
0.05070396,0.08251937,0.62747365,0.031815406
0.004416118,0.08576979,18.421947,0.08135367
0.01373384,0.08929203,5.5016026,0.075558186
0.06843327,0.085529916,0.24982943,0.017096646
0.13390325,0.09585571,0.28414196,0.038047537
0.033996943,0.0902906,1.6558441,0.056293655
0.051373012,0.08664745,0.68663347,0.03527444
0.122434504,0.08658073,0.29284042,0.035853773
0.10652862,0.075604655,0.29028782,0.030923963
0.031323142,0.08125254,1.5940092,0.049929395
0.08488085,0.0906439,0.06789571,0.0057630464
0.117777206,0.09193005,0.21945806,0.02584716
0.10826082,0.08982775,0.17026532,0.018433064
0.1430232,0.08721825,0.39018106,0.055804946
0.111093625,0.07944992,0.28483814,0.031643704
0.047206167,0.08969526,0.90007484,0.042489093
0.17712367,0.0869277,0.5092259,0.09019597
0.033710707,0.09327437,1.7669058,0.059563663
0.05634642,0.087757975,0.55747193,0.031411555
0.093204655,0.08245127,0.1153739,0.010753386
0.1600696,0.08543411,0.46626896,0.07463549
0.06546807,0.08677379,0.3254367,0.021305718
0.08500528,0.085163325,0.0018591986,0.00015804172
0.10230085,0.086360164,0.15582165,0.015940689
0.13818277,0.082317255,0.4042871,0.05586552
0.081167154,0.075551085,0.06919139,0.005616069
0.044426017,0.09216409,1.0745519,0.047738075
0.17668079,0.08960901,0.49281967,0.08707178
0.09773227,0.09224964,0.056098446,0.005482629
0.10436083,0.08472351,0.1881675,0.019637316
0.077712074,0.08529909,0.09762981,0.0075870156
0.18015224,0.09163434,0.49135047,0.0885179
0.08426212,0.089298464,0.05976999,0.0050363466
0.13531898,0.08704744,0.35672402,0.048271537
0.07694615,0.08307499,0.07965103,0.00612884
0.012549648,0.09610006,6.657585,0.083550416
0.11518306,0.085658684,0.2563257,0.029524378
0.08937146,0.08889341,0.005348957,0.00047804415
0.06688636,0.08921853,0.33388224,0.02233217
0.098217465,0.091113925,0.072324604,0.00710354
0.07727753,0.078251004,0.012597069,0.0009734705
0.059670597,0.08728933,0.46285325,0.027618736
0.040505633,0.0787214,0.9434676,0.038215764
0.038373377,0.08586401,1.2375928,0.04749063
0.02742255,0.08534868,2.1123533,0.057926133
0.1824432,0.07804686,0.5722128,0.10439634
0.085484736,0.08303663,0.028637908,0.0024481043
0.04939542,0.088022076,0.78198844,0.038626656
0.14380297,0.07664536,0.46701124,0.06715761
0.048504334,0.079484925,0.63871783,0.03098059
0.058917068,0.08007671,0.35914275,0.021159641
0.101120345,0.074865304,0.2596415,0.026255041
0.07292251,0.07721659,0.058885444,0.004294075
0.04967952,0.08698118,0.75084555,0.037301656
0.050005067,0.08700359,0.7398953,0.03699852
0.15060006,0.08298149,0.44899428,0.06761857
0.0330457,0.08284104,1.5068623,0.049795337
0.08784935,0.09313442,0.060160592,0.0052850693
0.1384651,0.09437433,0.31842515,0.044090778
0.10158238,0.088341996,0.13034132,0.013240382
0.068384856,0.082815096,0.21101512,0.01443024
0.12423712,0.08121043,0.3463272,0.043026693
0.080338985,0.08374587,0.042406335,0.0034068823
0.073359795,0.087487906,0.19258656,0.014128111
0.07583153,0.082392536,0.086520776,0.0065610036
0.14273998,0.07989207,0.44029644,0.06284791
0.045551363,0.08523993,0.8712925,0.03968857
0.09533853,0.07845982,0.17703973,0.01687871
0.039828222,0.089645535,1.250804,0.049817313
0.048200507,0.08327645,0.7277089,0.035075944
0.05181633,0.09035261,0.743709,0.03853628
0.03587149,0.08199331,1.285751,0.04612182
0.12883128,0.07948141,0.38305813,0.049349874
0.049940262,0.07923186,0.58653253,0.029291596
0.094436795,0.0855047,0.09458274,0.008932091
0.0279857,0.07672989,1.7417531,0.048744194
0.11348395,0.085307635,0.24828456,0.028176315
0.059896592,0.08020222,0.33901137,0.02030563
0.14591657,0.0801414,0.45077237,0.06577516
0.037024323,0.078435995,1.1184988,0.04141167
0.05123293,0.07467536,0.45756555,0.023442429
0.07015519,0.082508706,0.17608841,0.012353517
0.07467037,0.08539334,0.14360411,0.010722972
0.026453922,0.081637874,2.0860398,0.055183955
0.14364508,0.08709918,0.39365005,0.0565459
0.16091402,0.080918826,0.49713,0.07999519
0.011113834,0.08470867,6.6219068,0.07359484
0.13655566,0.082461506,0.3961326,0.05409415
0.15250099,0.0839322,0.44962844,0.06856879
0.08203973,0.090771355,0.10643167,0.008731626
0.08604552,0.09418896,0.09464106,0.00814344
0.08056594,0.086816594,0.077584356,0.006250657
0.05842488,0.08607066,0.47318494,0.027645778
0.060284726,0.08837925,0.46603045,0.028094523
0.043038025,0.09160486,1.128463,0.048566833
0.041964013,0.089265004,1.1271796,0.04730099
0.0030613053,0.08080133,25.394323,0.07774003
0.038032006,0.07722022,1.0304005,0.03918821
0.06514643,0.09534036,0.46347788,0.030193932
0.085490674,0.091691025,0.07252663,0.006200351
0.17903185,0.089614846,0.49944744,0.089417
0.081588835,0.09548312,0.17029636,0.013894282
0.062244073,0.08065234,0.29574326,0.018408269
0.168236,0.0861392,0.48798588,0.0820968
0.12960054,0.086696126,0.33105117,0.042904414
0.13871066,0.08113142,0.41510317,0.05757924
0.101378724,0.090386465,0.10842766,0.010992259
0.06406849,0.081289396,0.268789,0.017220907
0.155184,0.084290825,0.45683298,0.070893176
0.09983876,0.09594025,0.03904812,0.0038985163
0.08895726,0.077045344,0.13390602,0.011911914
0.070828624,0.0926511,0.30810246,0.021822475
0.09049063,0.07912196,0.12563366,0.01136867
0.01055825,0.09321371,7.828511,0.08265546
0.10711559,0.08013964,0.25183964,0.026975952
0.06799335,0.08089744,0.1897846,0.012904093
0.115324594,0.093215324,0.1917134,0.02210927
0.10976532,0.09322601,0.15067884,0.016539313
0.12623477,0.091675706,0.27376816,0.034559064
0.08168599,0.088727824,0.08620614,0.0070418343
0.16892514,0.08446262,0.49999964,0.084462516
0.06008431,0.08690154,0.44632655,0.026817229
0.046790656,0.10000553,1.1372968,0.053214874
0.09072217,0.082421,0.091501065,0.008301176
0.15401877,0.081678525,0.46968457,0.07234025
0.038153622,0.091635466,1.4017497,0.053481843
0.014492254,0.08664882,4.9789715,0.07215657
0.025734656,0.08957329,2.4806476,0.06383863
0.015048385,0.09685682,5.436356,0.08180843
0.11886318,0.08160664,0.3134405,0.03725654
0.07538253,0.08515001,0.12957218,0.00976748
0.05063018,0.08870038,0.75192684,0.0380702
0.059709493,0.082279034,0.37798908,0.02256954
0.13933955,0.08338156,0.4015944,0.055957988
0.02940864,0.07569107,1.5737692,0.046282426
0.07975719,0.084845066,0.06379204,0.005087875
0.07060786,0.07751628,0.09784202,0.0069084167
0.082672365,0.09096914,0.100357264,0.008296773
0.045417733,0.08528314,0.87774956,0.039865404
0.07688216,0.07903387,0.027987054,0.0021517053
0.03891373,0.09110127,1.3411082,0.052187536
0.11287415,0.08151415,0.27783152,0.03136
0.0757043,0.08936364,0.1804302,0.013659343
0.03745003,0.08179594,1.1841351,0.044345908
0.044792764,0.07560134,0.6878023,0.030808575
0.03165038,0.09530255,2.0111022,0.06365217
0.13414083,0.080764696,0.39791113,0.05337614
0.08202696,0.083634734,0.019600576,0.0016077757
