setup_id,setup_params,true_mean,pred_mean,relative_error,n_samples
0,"[0.10000000149011612, 0.10000000149011612, 0.0010000000474974513]",0.07878348976373672,0.0690915510058403,0.1230199062869955,1500
1,"[0.10000000149011612, 0.10000000149011612, 0.07575000077486038]",0.3189423382282257,0.32324233651161194,0.01348205500860387,500
2,"[0.10000000149011612, 0.10000000149011612, 0.11249999701976776]",0.3606403172016144,0.3732759654521942,0.03503670360058189,500
3,"[0.10000000149011612, 0.10000000149011612, 0.15049999952316284]",0.409662127494812,0.4144107699394226,0.011591606863279457,500
4,"[0.10000000149011612, 0.10000000149011612, 0.30000001192092896]",0.4899662435054779,0.5105982422828674,0.04210902001878147,1000
5,"[0.10000000149011612, 0.14444445073604584, 0.0008750000270083547]",0.0789199247956276,0.0739094465970993,0.0634881188321241,500
6,"[0.10000000149011612, 0.18888889253139496, 0.0008750000270083547]",0.08380575478076935,0.08407322317361832,0.003191527379395071,500
7,"[0.10000000149011612, 0.18888889253139496, 0.03999999910593033]",0.2619902491569519,0.25952598452568054,0.009405939897158856,500
8,"[0.10000000149011612, 0.18888889253139496, 0.05999999865889549]",0.30628475546836853,0.2995269000530243,0.022063961963665325,500
9,"[0.10000000149011612, 0.18888889253139496, 0.30000001192092896]",0.46755728125572205,0.48040157556533813,0.027471059803430876,1000
10,"[0.10000000149011612, 0.23333333432674408, 0.0006249999860301614]",0.11345840245485306,0.09212923794984818,0.18799103604144032,500
11,"[0.10000000149011612, 0.23333333432674408, 0.0010000000474974513]",0.09794933348894119,0.09787001460790634,0.0008097949226561834,1500
12,"[0.10000000149011612, 0.23333333432674408, 0.05000000074505806]",0.2895203232765198,0.28729909658432007,0.007672092205276034,500
13,"[0.10000000149011612, 0.23333333432674408, 0.2252500057220459]",0.43902432918548584,0.44747495651245117,0.019248653372256383,500
14,"[0.10000000149011612, 0.2777777910232544, 0.05000000074505806]",0.29494765400886536,0.29568636417388916,0.0025045465862770827,500
15,"[0.10000000149011612, 0.2777777910232544, 0.11249999701976776]",0.3671935498714447,0.3730333149433136,0.015903778579105285,500
16,"[0.10000000149011612, 0.3222222328186035, 0.0005000000237487257]",0.08746454119682312,0.11666259914636612,0.3338273340457446,500
17,"[0.10000000149011612, 0.3222222328186035, 0.0006249999860301614]",0.09459690749645233,0.11912277340888977,0.25926707298213214,500
18,"[0.10000000149011612, 0.3222222328186035, 0.05999999865889549]",0.31909897923469543,0.3222076892852783,0.009742149475429543,500
19,"[0.10000000149011612, 0.3222222328186035, 0.30000001192092896]",0.4761194884777069,0.47870221734046936,0.005424539156703705,1000
20,"[0.10000000149011612, 0.36666667461395264, 0.0005000000237487257]",0.08183209598064423,0.11465056985616684,0.40104642893200354,500
21,"[0.10000000149011612, 0.36666667461395264, 0.0010000000474974513]",0.15205270051956177,0.12457028776407242,0.18074266918085424,1500
22,"[0.10000000149011612, 0.36666667461395264, 0.05000000074505806]",0.30799955129623413,0.30544963479042053,0.00827896148644539,500
23,"[0.10000000149011612, 0.41111111640930176, 0.004161791410297155]",0.17114342749118805,0.1722540259361267,0.006489284434267851,500
24,"[0.10000000149011612, 0.41111111640930176, 0.017320508137345314]",0.22896192967891693,0.22240710258483887,0.02862845721551004,500
25,"[0.10000000149011612, 0.41111111640930176, 0.029999999329447746]",0.25775814056396484,0.2607179284095764,0.011482809909737757,500
26,"[0.10000000149011612, 0.41111111640930176, 0.05999999865889549]",0.3209284842014313,0.3223313093185425,0.004371145418551463,500
27,"[0.10000000149011612, 0.4555555582046509, 0.0010000000474974513]",0.13471287488937378,0.1179933100938797,0.12411258811081202,1500
28,"[0.10000000149011612, 0.4555555582046509, 0.004161791410297155]",0.17633047699928284,0.17224644124507904,0.023161257158102258,500
29,"[0.10000000149011612, 0.4555555582046509, 0.07208434492349625]",0.3466564118862152,0.3404216766357422,0.017985344729945552,500
30,"[0.10000000149011612, 0.4555555582046509, 0.15049999952316284]",0.40704041719436646,0.40288758277893066,0.010202510949736118,500
31,"[0.10000000149011612, 0.5, 0.0005000000237487257]",0.09367188066244125,0.10746349394321442,0.14723321140674978,500
32,"[0.10000000149011612, 0.5, 0.0006249999860301614]",0.09671647101640701,0.10960642248392105,0.1332756458056759,500
33,"[0.10000000149011612, 0.5, 0.029999999329447746]",0.2730981409549713,0.2650466859340668,0.0294819096824719,500
34,"[0.11110299825668335, 0.4211849868297577, 0.04314599931240082]",0.2914917767047882,0.29028111696243286,0.004153323687234649,300
35,"[0.1121629998087883, 0.42996901273727417, 0.019742999225854874]",0.2615494430065155,0.2324594408273697,0.11122180469030134,300
36,"[0.12836700677871704, 0.29673299193382263, 0.005431999918073416]",0.15847203135490417,0.18722765147686005,0.18145547868318657,300
37,"[0.129938006401062, 0.2343290001153946, 0.03112100064754486]",0.23801442980766296,0.24804437160491943,0.04214005589476657,300
38,"[0.13018399477005005, 0.4514090120792389, 0.13075999915599823]",0.39993464946746826,0.39416998624801636,0.014414012596777243,300
39,"[0.13064900040626526, 0.17974300682544708, 0.05313200131058693]",0.29929375648498535,0.28888800740242004,0.034767677271645855,300
