epoch,train_loss,test_loss
1,5.213774790769078,2.577939231781128
2,1.7211174846105053,0.5623889105417478
3,0.18134546021651374,-0.20392565885673702
4,0.23264914699373634,-0.29369472919238937
5,-0.48048240589416563,-0.5314761068395994
6,-0.6197035349538266,-0.6109248308533871
7,-0.6826799808300599,-0.6446139019511548
8,-0.7136575241470128,-0.663263262996887
9,-0.7457792235034449,-0.6566831148493989
10,-0.7725800349573969,-0.7150610130705676
11,-0.7874121633965241,-0.7329294151684016
12,-0.7636905274693604,-0.7334025734828578
13,-0.801326756899093,-0.753836608250384
14,-0.8097143646529574,-0.7533352619014037
15,-0.807081257559253,-0.7507425260534625
16,-0.8127478113701936,-0.7646858285054748
17,-0.8184537212206265,-0.7464695581545432
18,-0.8224346434364966,-0.7617781179002774
19,-0.825315666355413,-0.7585438723388461
20,-0.830581202009552,-0.7601614305151649
21,-0.8323019451470913,-0.7689486945599869
22,-0.8335618947643831,-0.7771430182834098
23,-0.8324569421295007,-0.7783664913503108
24,-0.8233465151810306,-0.7719659692527335
25,-0.8261748209579359,-0.7790049747736366
26,-0.8203790068691689,-0.7662562423466165
27,-0.8331533105389051,-0.783430814522284
28,-0.8338462556962246,-0.7791184661748969
29,-0.8365023825868458,-0.7717346243261372
30,-0.8414721208556197,-0.7812053024308917
31,-0.8482904994670559,-0.7789696923008671
32,-0.8482671652605343,-0.793441713794514
33,-0.8500914019078571,-0.7879871578404197
34,-0.8517216019666991,-0.7725745793569971
35,-0.8518096062661784,-0.788930755931838
36,-0.8543156395540833,-0.7966427526540226
37,-0.8534478711337667,-0.7929257864753405
38,-0.8529076935623457,-0.7751710057074641
39,-0.8575806858962625,-0.7919768806822874
40,-0.8561941547174443,-0.8045431623177856
41,-0.8612720117315666,-0.7949716446829247
42,-0.8626870910870676,-0.7933375256572976
43,-0.8650319104257315,-0.7995743049239671
44,-0.8707840855581215,-0.8022054617327673
45,-0.8707595261595205,-0.8059133379961605
46,-0.8737677181341562,-0.8050810229746096
47,-0.8750304676682116,-0.7837302264883931
48,-0.8768715318557597,-0.8045970492064953
49,-0.8767200403184776,-0.7979111476352921
50,-0.8780082040848894,-0.8099195160615591
