epoch,train_loss,test_loss
1,1.0905153093174067,-0.1552187879546833
2,-0.29986096783092314,-0.20285680380960305
3,-0.4894912223385694,-0.5134412425443714
4,-0.599410024441999,-0.5271368220620961
5,-0.6717188500626847,-0.657364787483289
6,-0.7113934308780114,-0.7158133130290626
7,-0.7340574218151501,-0.6929231606055924
8,-0.7887731291117047,-0.695734469730545
9,-0.5561788645904483,-0.41322518537901803
10,-0.7755100139032188,-0.7353982490015987
11,-0.7843252668669294,-0.74087757744171
12,-0.8172546250731373,-0.7746803298408602
13,-0.8315872121092263,-0.793578726761503
14,-0.8325338932600889,-0.7358611332045661
15,-0.8604763758992052,-0.785307684407374
16,-0.8765439506689533,-0.7821667278254474
17,-0.8744408696857235,-0.8256089660304564
18,-0.8757016122798147,-0.8388983442827508
19,-0.8892278590312009,-0.8167785980014337
20,-0.9023937510503997,-0.8096093002016898
21,-0.9012374912203991,-0.8332783461628873
22,-0.9206509184732886,-0.8564797919151592
23,-0.9146723411691672,-0.8596532630515688
24,-0.9324055373146396,-0.8515381144612659
25,-0.9447446969814134,-0.8751649051329787
26,-0.9542956016345718,-0.8877920090508313
27,-0.9629959849577483,-0.88415329027691
28,-0.9689305602590199,-0.8788836946412001
29,-0.973611491533386,-0.8942296885804814
30,-0.9781487075548705,-0.862604742322439
31,-0.9810372407895973,-0.8776972745211772
32,-0.983678747046033,-0.8885709440634575
33,-0.9879684281767003,-0.9037372710942119
34,-0.987412545466867,-0.897103545975722
35,-0.9909371960528709,-0.8990119481390273
36,-0.9926934474987372,-0.8893695037306091
37,-0.9959258620605803,-0.8661744553319833
38,-0.9964746818811452,-0.8860325529021613
39,-0.996460216754368,-0.8952208546116764
40,-0.9926690084519026,-0.9064153796360817
