setup_id,setup_params,true_mean,pred_mean,relative_error,n_samples
0,"[0.0010000000474974513, 0.0010000000474974513, 0.0020000000949949026, 3.0, 19.0, 10.0]",0.12005118280649185,0.13870660960674286,0.15539559719595059,200
1,"[0.0010000000474974513, 0.004999999888241291, 0.004999999888241291, 1.0, 19.0, 15.0]",0.15779808163642883,0.1475171148777008,0.06515266852792909,200
2,"[0.0010000000474974513, 0.009999999776482582, 0.0007999999797903001, 9.0, 15.0, 15.0]",0.027418525889515877,0.04593706503510475,0.6754021885125483,500
3,"[0.0010000000474974513, 0.009999999776482582, 0.009999999776482582, 19.0, 95.0, 10.0]",0.2661685347557068,0.14465481042861938,0.4565292432981305,500
4,"[0.0010000000474974513, 0.07999999821186066, 9.999999747378752e-05, 15.0, 51.0, 15.0]",0.009020323865115643,0.012841053307056427,0.4235685174266886,200
5,"[0.0010000000474974513, 0.07999999821186066, 0.10000000149011612, 5.0, 45.0, 15.0]",0.3406752347946167,0.3492187559604645,0.02507819777453575,500
6,"[0.0010000000474974513, 0.10000000149011612, 0.0005000000237487257, 7.0, 41.0, 30.0]",0.012486649677157402,0.017064105719327927,0.3665877152513687,500
7,"[0.0010000000474974513, 0.10000000149011612, 0.0010000000474974513, 5.0, 9.0, 40.0]",0.014993605203926563,0.014811686240136623,0.01213309540865758,200
8,"[0.0010000000474974513, 0.10000000149011612, 0.0020000000949949026, 5.0, 9.0, 20.0]",0.09497034549713135,0.08618603646755219,0.09249527374723263,500
9,"[0.0010000000474974513, 0.20000000298023224, 9.999999747378752e-05, 3.0, 21.0, 40.0]",0.0688377320766449,0.11305321753025055,0.6423145809224178,500
10,"[0.0010000000474974513, 0.4000000059604645, 0.00800000037997961, 7.0, 37.0, 10.0]",0.280353844165802,0.2456882745027542,0.12364934224355796,500
11,"[0.0010000000474974513, 0.44999998807907104, 9.999999747378752e-05, 19.0, 49.0, 10.0]",0.07170824706554413,0.07086509466171265,0.011758093674774551,500
12,"[0.0010000000474974513, 0.44999998807907104, 0.0010000000474974513, 3.0, 99.0, 15.0]",0.3147431015968323,0.3208889663219452,0.019526605980134722,500
13,"[0.0010000000474974513, 0.550000011920929, 0.05000000074505806, 1.0, 5.0, 60.0]",0.32488033175468445,0.33395111560821533,0.027920383869763928,200
14,"[0.0010000000474974513, 0.550000011920929, 0.05000000074505806, 5.0, 71.0, 20.0]",0.21094059944152832,0.20302432775497437,0.037528438490400336,500
15,"[0.0010000000474974513, 0.6000000238418579, 0.0020000000949949026, 1.0, 21.0, 40.0]",0.2956288456916809,0.29938629269599915,0.012710014370982032,500
16,"[0.0010000000474974513, 0.6000000238418579, 0.05000000074505806, 7.0, 91.0, 15.0]",0.2535507380962372,0.23825812339782715,0.060313822038519885,200
17,"[0.0010000000474974513, 0.6499999761581421, 0.0007999999797903001, 1.0, 15.0, 30.0]",0.4274043142795563,0.4272003769874573,0.00047715308553033706,200
18,"[0.0010000000474974513, 0.6499999761581421, 0.0010000000474974513, 7.0, 53.0, 15.0]",0.20278425514698029,0.1903703659772873,0.06121722097469086,200
19,"[0.0010000000474974513, 0.6499999761581421, 0.004999999888241291, 23.0, 25.0, 10.0]",0.2060171514749527,0.10966023802757263,0.46771304272675857,200
20,"[0.0010000000474974513, 0.699999988079071, 0.00019999999494757503, 7.0, 83.0, 15.0]",0.20058809220790863,0.19394530355930328,0.0331165636221042,500
21,"[0.0010000000474974513, 1.0, 0.0005000000237487257, 1.0, 5.0, 30.0]",0.4690711200237274,0.4897924065589905,0.04417514788048222,500
22,"[0.004999999888241291, 0.0010000000474974513, 0.0010000000474974513, 5.0, 17.0, 40.0]",0.0011282925261184573,0.0032947964500635862,1.9201445302070288,500
23,"[0.004999999888241291, 0.004999999888241291, 0.0007999999797903001, 3.0, 27.0, 30.0]",0.00466124527156353,0.011608620174229145,1.4904514981294406,500
24,"[0.004999999888241291, 0.009999999776482582, 0.00019999999494757503, 9.0, 83.0, 20.0]",0.002591156167909503,0.009537111967802048,2.6806292417349646,500
25,"[0.004999999888241291, 0.029999999329447746, 0.00019999999494757503, 7.0, 21.0, 20.0]",0.011107617989182472,0.014581281691789627,0.31272776743964564,500
26,"[0.004999999888241291, 0.029999999329447746, 0.004999999888241291, 5.0, 61.0, 20.0]",0.021295655518770218,0.016249651089310646,0.23694983493293373,500
27,"[0.004999999888241291, 0.05000000074505806, 0.00019999999494757503, 3.0, 5.0, 60.0]",0.007845225743949413,0.00746691832318902,0.048221294185093196,500
28,"[0.004999999888241291, 0.25, 0.0005000000237487257, 3.0, 5.0, 60.0]",0.03729025274515152,0.04152362793684006,0.11352494941159837,500
29,"[0.004999999888241291, 0.44999998807907104, 0.0007999999797903001, 1.0, 75.0, 15.0]",0.5598248243331909,0.561843752861023,0.0036063575676073445,200
30,"[0.004999999888241291, 0.44999998807907104, 0.0010000000474974513, 7.0, 15.0, 10.0]",0.2828192412853241,0.257886677980423,0.08815723537768559,500
31,"[0.004999999888241291, 0.44999998807907104, 0.009999999776482582, 1.0, 5.0, 60.0]",0.2652481496334076,0.30207690596580505,0.13884641606297102,200
32,"[0.004999999888241291, 0.5, 0.0010000000474974513, 3.0, 5.0, 60.0]",0.07094182074069977,0.06621117144823074,0.0666834960851246,500
33,"[0.004999999888241291, 0.550000011920929, 0.0007999999797903001, 7.0, 55.0, 20.0]",0.13045929372310638,0.10877358168363571,0.16622587596740174,200
34,"[0.004999999888241291, 0.6000000238418579, 0.0010000000474974513, 5.0, 33.0, 30.0]",0.1146095022559166,0.10748188197612762,0.06219047738265735,500
35,"[0.004999999888241291, 0.6499999761581421, 0.00019999999494757503, 1.0, 5.0, 60.0]",0.39428943395614624,0.33663490414619446,0.14622387358755728,500
36,"[0.004999999888241291, 0.6499999761581421, 0.00800000037997961, 3.0, 47.0, 30.0]",0.20561406016349792,0.2220534384250641,0.07995259394697103,500
37,"[0.004999999888241291, 0.75, 0.00019999999494757503, 3.0, 75.0, 10.0]",0.44586634635925293,0.47197970747947693,0.05856768681417036,500
38,"[0.004999999888241291, 0.800000011920929, 0.00019999999494757503, 25.0, 59.0, 10.0]",0.06801354885101318,0.08021079003810883,0.1793354353624438,500
39,"[0.004999999888241291, 0.8999999761581421, 0.00019999999494757503, 3.0, 9.0, 40.0]",0.1808898150920868,0.21446435153484344,0.18560765607277602,200
40,"[0.004999999888241291, 0.8999999761581421, 0.004999999888241291, 7.0, 55.0, 20.0]",0.1597185730934143,0.17756207287311554,0.1117183701114174,500
41,"[0.009999999776482582, 0.0010000000474974513, 0.00800000037997961, 1.0, 19.0, 40.0]",0.007707137148827314,0.03878340870141983,4.032136788425136,500
42,"[0.009999999776482582, 0.0010000000474974513, 0.029999999329447746, 5.0, 21.0, 40.0]",0.007267708424478769,0.013962953351438046,0.9212306443255539,500
43,"[0.009999999776482582, 0.004999999888241291, 0.0005000000237487257, 11.0, 79.0, 15.0]",0.0031049842946231365,0.023186903446912766,6.467618696454655,500
44,"[0.009999999776482582, 0.004999999888241291, 0.0020000000949949026, 5.0, 11.0, 30.0]",0.00905955582857132,0.010254908353090286,0.13194368771505158,200
45,"[0.009999999776482582, 0.029999999329447746, 0.009999999776482582, 7.0, 11.0, 30.0]",0.028853140771389008,0.019653072580695152,0.31885835497094855,500
46,"[0.009999999776482582, 0.05000000074505806, 0.00019999999494757503, 5.0, 37.0, 30.0]",0.013265428133308887,0.015846746042370796,0.19458972128333565,500
47,"[0.009999999776482582, 0.05000000074505806, 0.0010000000474974513, 11.0, 83.0, 20.0]",0.0077895247377455235,0.012537564150989056,0.6095408227960131,500
48,"[0.009999999776482582, 0.05000000074505806, 0.05000000074505806, 3.0, 19.0, 40.0]",0.05319477990269661,0.04231914132833481,0.20444931908285402,500
49,"[0.009999999776482582, 0.07999999821186066, 0.0005000000237487257, 3.0, 15.0, 10.0]",0.25519809126853943,0.24228380620479584,0.05060494180618597,500
50,"[0.009999999776482582, 0.07999999821186066, 0.0005000000237487257, 5.0, 41.0, 30.0]",0.02033820189535618,0.021823260933160782,0.07301817118660696,500
51,"[0.009999999776482582, 0.07999999821186066, 0.0007999999797903001, 13.0, 49.0, 20.0]",0.009128614328801632,0.008629651740193367,0.05465912175112662,500
52,"[0.009999999776482582, 0.07999999821186066, 0.004999999888241291, 1.0, 27.0, 30.0]",0.21351823210716248,0.19591474533081055,0.08244488434630766,200
53,"[0.009999999776482582, 0.10000000149011612, 0.004999999888241291, 3.0, 5.0, 20.0]",0.2630375623703003,0.23276589810848236,0.11508494390756445,500
54,"[0.009999999776482582, 0.10000000149011612, 0.07000000029802322, 7.0, 29.0, 30.0]",0.0782025158405304,0.11580637097358704,0.48085218129319696,500
55,"[0.009999999776482582, 0.15000000596046448, 0.10000000149011612, 9.0, 43.0, 20.0]",0.24511480331420898,0.27928826212882996,0.13941817041801766,500
56,"[0.009999999776482582, 0.20000000298023224, 0.0020000000949949026, 7.0, 9.0, 10.0]",0.3311484754085541,0.3036724328994751,0.08297197094282477,500
57,"[0.009999999776482582, 0.25, 0.00019999999494757503, 7.0, 61.0, 10.0]",0.18147073686122894,0.17919811606407166,0.012523345147717751,500
58,"[0.009999999776482582, 0.25, 0.0010000000474974513, 7.0, 43.0, 20.0]",0.07976312190294266,0.06247938051819801,0.21668834927113745,200
59,"[0.009999999776482582, 0.25, 0.10000000149011612, 1.0, 15.0, 30.0]",0.3791382610797882,0.37524542212486267,0.01026759694778031,500
