lr,hidden_features,num_layers,num_bins,mean_error,std_error,median_error,final_train_loss,final_test_loss,total_parameters,experiment_id
0.005,8,4,10,0.04199031696197443,0.04404539875541937,0.026604292235826058,-0.9704515086903291,-0.9781705098096715,2644,4
0.005,32,2,30,0.043101580941569385,0.050389015895488706,0.025568768394346783,-0.9657050120129305,-0.9745053199141525,15218,21
0.005,32,2,10,0.04367607646631944,0.04725313821309083,0.027566837931740206,-0.9715331060044906,-0.9742299296135126,11258,19
0.005,32,6,10,0.04495190579148162,0.04740691179312399,0.030405101672690525,-0.9710896951310775,-0.9744099384130434,33774,25
0.005,16,4,10,0.04772088481972977,0.06736848942401215,0.025937414625145535,-0.9662788011747248,-0.9783349505690642,7220,13
0.005,16,4,20,0.04818508567651832,0.07189472501349474,0.02312738660995339,-0.9642227063459509,-0.9784114651901777,9260,14
0.005,32,2,20,0.04948687382640501,0.0625625187910792,0.028481166101991515,-0.9661060070290285,-0.9750214752762817,13238,20
0.005,16,6,20,0.04980443917054256,0.06794965248688437,0.02784078895499307,-0.948423145869199,-0.9655396236929783,13890,17
0.005,16,2,30,0.05179021839918102,0.06711590795558385,0.028420030994421065,-0.968218623119242,-0.9736730930417083,5650,12
0.005,8,6,10,0.051793109331569234,0.07074704212536449,0.03086535054386959,-0.9624756165812998,-0.9760819751162861,3966,7
0.005,16,2,10,0.05209595130589324,0.07137570333191624,0.02749115898145045,-0.9615309004923877,-0.9704269061254901,3610,10
0.005,16,6,10,0.05327801308924671,0.06626249554093726,0.032993426810123856,-0.9632963057125316,-0.9739032896452172,10830,16
0.005,8,6,20,0.053406713084328476,0.07338279689084923,0.030297767279844276,-0.9667427544032826,-0.9748155027627945,5586,8
0.005,8,2,30,0.05357886816400251,0.06838637997011653,0.03189134589941214,-0.9602779827398412,-0.9722378856913988,2402,3
0.005,16,4,30,0.05396739939459203,0.058992131304222435,0.03372313084832287,-0.962190297351164,-0.9630710381408071,11300,15
0.005,32,6,20,0.054168191729013146,0.06860786315286527,0.03105761904815504,-0.963287914500517,-0.9705222772997479,39714,26
0.005,8,4,20,0.055282761148030206,0.08513632650735879,0.025876905987398263,-0.9626611749564901,-0.9704521994258082,3724,5
0.005,16,2,20,0.055743473904739015,0.06809066017826033,0.03267373087357531,-0.9659611044911778,-0.976345421408498,4630,11
0.005,8,2,20,0.056238938633660404,0.07921746619617466,0.03379673186082305,-0.9619651091800017,-0.9694447723932045,1862,2
0.005,8,2,10,0.056666232205160816,0.07743712276616624,0.03238816566790448,-0.962637113753487,-0.9731124880701997,1322,1
0.005,8,6,30,0.05681778987923535,0.06370412884853638,0.03420522642420263,-0.961320803305682,-0.9659509173659391,7206,9
0.005,32,6,30,0.058883338231322135,0.08385776005093531,0.03046802216324693,-0.9617587606345906,-0.9678125769592995,45654,27
0.005,16,6,30,0.05931439656267182,0.0692022481833637,0.03397498565551449,-0.9683971625215867,-0.9730150314957596,16950,18
0.005,32,4,20,0.059489891772924984,0.06741644567269309,0.03696661856467179,-0.9675474455076105,-0.9700393234574518,26476,23
0.005,32,4,30,0.06097851239539595,0.05949667504312401,0.04439671615040061,-0.9509386705125079,-0.9550398816202962,30436,24
0.005,32,4,10,0.06279153602854048,0.08271470941655554,0.03891007996023428,-0.964136879233753,-0.9721132119034612,22516,22
0.005,8,4,30,0.06494804819996551,0.058052174918019964,0.04867401145836593,-0.9626023589162266,-0.9457575585953025,4804,6
